stud_name,course_name,teacher,etcs,classroom,grade,img_url
Maria,English,AIW,25,28,2,http://schoolspics/dbmqaooqge/767980
Maria,Sience,POL,25,51,-3,http://schoolspics/dbmqaooqge/767980
Maria,Chemistry,MAW,20,57,0,http://schoolspics/dbmqaooqge/767980
Bo,English,AIW,25,28,2,http://schoolspics/gxovlohypm/563009
Bo,Danish,AGD,20,73,2,http://schoolspics/gxovlohypm/563009
Bo,Sport,OTA,25,79,0,http://schoolspics/gxovlohypm/563009
Bo,Sience,POL,25,51,-3,http://schoolspics/gxovlohypm/563009
Bo,Chemistry,MAW,20,57,0,http://schoolspics/gxovlohypm/563009
Bo,IT,NDL,15,88,10,http://schoolspics/gxovlohypm/563009
Bo,History,PAA,25,67,7,http://schoolspics/gxovlohypm/563009
Mona,History,PAA,25,67,7,http://schoolspics/vgzitipqrt/966612
Johan,Chemistry,MAW,20,57,0,http://schoolspics/fcelhewdhk/861015
Johan,History,PAA,25,67,7,http://schoolspics/fcelhewdhk/861015
Johan,Sport,OTA,25,79,0,http://schoolspics/fcelhewdhk/861015
Johan,English,AIW,25,28,2,http://schoolspics/fcelhewdhk/861015
Johan,Math,KWO,10,49,10,http://schoolspics/fcelhewdhk/861015
Mikkel,Chemistry,MAW,20,57,0,http://schoolspics/fwnchhvocn/674809
Mikkel,IT,NDL,15,88,10,http://schoolspics/fwnchhvocn/674809
Mikkel,English,AIW,25,28,2,http://schoolspics/fwnchhvocn/674809
Mikkel,History,PAA,25,67,7,http://schoolspics/fwnchhvocn/674809
Mikkel,Math,KWO,10,49,10,http://schoolspics/fwnchhvocn/674809
Mikkel,Sience,POL,25,51,-3,http://schoolspics/fwnchhvocn/674809
Mikkel,Sport,OTA,25,79,0,http://schoolspics/fwnchhvocn/674809
Tom,Math,KWO,10,49,10,http://schoolspics/ecokesbdgu/736024
Tom,Danish,AGD,20,73,2,http://schoolspics/ecokesbdgu/736024
Signe,Sience,POL,25,51,-3,http://schoolspics/fgicuvapwe/900254
Signe,Sport,OTA,25,79,0,http://schoolspics/fgicuvapwe/900254
Sara,IT,NDL,15,88,10,http://schoolspics/kasuetzcem/823798
Sara,Danish,AGD,20,73,2,http://schoolspics/kasuetzcem/823798
Sara,Sience,POL,25,51,-3,http://schoolspics/kasuetzcem/823798
Sara,Chemistry,MAW,20,57,0,http://schoolspics/kasuetzcem/823798
Sara,Math,KWO,10,49,10,http://schoolspics/kasuetzcem/823798
Sara,Sport,OTA,25,79,0,http://schoolspics/kasuetzcem/823798
Sara,History,PAA,25,67,7,http://schoolspics/kasuetzcem/823798
Sara,English,AIW,25,28,2,http://schoolspics/kasuetzcem/823798
Sebastian,Math,KWO,10,49,10,http://schoolspics/sdfpsskkkp/456034
Sebastian,Sience,POL,25,51,-3,http://schoolspics/sdfpsskkkp/456034
Sebastian,IT,NDL,15,88,10,http://schoolspics/sdfpsskkkp/456034
Sebastian,Sport,OTA,25,79,0,http://schoolspics/sdfpsskkkp/456034
Sebastian,History,PAA,25,67,7,http://schoolspics/sdfpsskkkp/456034
Sebastian,Chemistry,MAW,20,57,0,http://schoolspics/sdfpsskkkp/456034
Sebastian,Danish,AGD,20,73,2,http://schoolspics/sdfpsskkkp/456034
Klara,Sience,POL,25,51,-3,http://schoolspics/fhiehhmehx/127532
Klara,History,PAA,25,67,7,http://schoolspics/fhiehhmehx/127532
Klara,Chemistry,MAW,20,57,0,http://schoolspics/fhiehhmehx/127532
Klara,Math,KWO,10,49,10,http://schoolspics/fhiehhmehx/127532
